fEdep,runTime
166.093,64.3536
350.714,17.6238
311.157,51.6092
745.874,135.446
925.757,181.168
165.819,210.628
109.161,210.628
574.383,108.093
203.497,15.2043
33.0104,2.2833
974.428,0.225119
1355.65,65.4244
1919.97,197.971
281.455,197.971
521.464,203.99
908.581,224.841
165.795,123.173
46.1638,123.173
31.8476,27.2953
616.672,16.8081
182.167,16.8081
978.765,5.74906
166.018,321.117
129.289,91.7837
275.28,253.666
819.416,240.877
127.315,188.876
686.125,8.24747
1241.38,7.04701
922.924,130.954
145.226,328.923
1250.31,185.216
103.167,115.333
248.05,91.9326
162.16,46.606
102.585,46.606
363.375,51.8206
381.517,204.274
137.294,128.205
142.829,59.0767
48.7025,215.672
108.558,119.414
290.351,15.269
161.841,46.8741
166.612,111.954
52.8529,141.402
106.135,55.2212
138.513,35.3701
32.9783,48.3691
129.42,220.324
235.372,220.324
165.347,41.4842
165.803,103.349
165.557,170.708
71.2878,97.3358
43.2703,90.9117
166.088,14.8649
23.5857,28.4973
52.9885,28.4973
97.9945,87.9997
558.259,114.843
63.7924,260.007
1146.07,289.752
166.296,63.5841
128.734,41.1531
165.47,232.419
57.8595,232.419
165.618,78.2632
344.539,156.837
284.655,79.2171
316.582,79.2171
1877.09,162.214
33.275,137.62
157.718,137.62
103.449,0.494922
209.793,0.494922
127.585,404.698
372.212,404.698
133.037,89.9981
165.975,4.18828
125.557,85.7046
165.784,34.8934
165.699,25.6337
553.418,19.5029
1178.42,104.604
417.425,87.7065
49.3365,64.3962
377.857,175.42
654.035,128.066
26.5301,57.2889
166.435,16.1794
151.366,11.9401
757.129,75.1628
166.007,118.483
116.747,79.4546
24.3191,37.1561
26.1709,32.1373
578.163,124.956
165.894,114.019
118.423,5.29686
116.231,5.29686
165.305,195.725
33.0904,126.428
67.7809,126.428
604.822,152.226
679.496,9.01595
165.964,83.5024
37.7656,119.363
70.0122,52.1396
33.1112,594.956
605.281,419.515
260.77,40.8796
165.484,144.98
33.669,63.8677
266.732,22.4942
165.96,17.4489
1273.05,146.79
1006.66,83.6794
165.434,122.716
31.005,122.716
114.889,309.206
675.538,148.143
235.687,240.953
197.847,240.953
66.531,12.6641
166.232,8.41867
762.467,69.2493
166.146,71.4624
1138.4,54.6911
1712.51,45.089
128.592,161.979
165.653,24.1932
100.008,24.1932
1181.66,129.342
165.977,22.4005
105.228,18.2939
113.724,216.046
165.747,129.245
34.7689,129.245
639.69,129.245
155.578,41.7661
620.891,100.864
120.484,146.509
119.276,31.3295
1526.85,227.068
365.728,32.3124
758.022,44.8987
165.429,106.091
117.909,698.503
165.855,103.145
165.971,320.514
37.2335,101.409
165.897,164.607
94.5894,98.0491
32.651,84.479
90.9222,84.479
109.374,111.674
407.694,111.674
165.899,286.769
960.092,22.6755
479.162,49.6739
363.467,381.891
227.89,180.12
255.137,123.788
225.634,36.4784
1669.64,26.4193
60.8736,26.4193
165.556,30.4049
372.525,273.588
223.846,79.3067
8.14863,79.3067
165.746,12.567
53.8298,182.504
165.736,131.427
113.231,31.1847
96.3361,177.653
108.973,37.2206
1079.54,168.28
33.005,107.046
280.524,192.938
98.5739,192.938
722.132,84.0194
459.34,84.0194
193.965,127.579
81.8913,123.782
107.971,47.8786
134.49,60.1484
166.006,41.8556
165.755,345.795
44.1177,160.924
537.394,28.3078
203.339,4.96989
119.139,54.4755
165.28,56.4401
94.625,257.525
33.6934,91.7704
33.1798,74.1441
37.5814,6.13561
104.079,53.2467
645.476,66.5395
823.066,342.871
103.947,52.2158
64.8685,53.4886
40.5349,77.2537
131.637,87.4638
592.637,205.196
124.25,8.63593
9.75975,70.9159
1359.77,109.406
105.884,109.406
852.609,72.95
166.267,183.041
792.409,4.83164
167.7,232.066
165.358,271.107
1009.59,307.286
114.864,28.0289
127.629,141.797
88.1291,188.256
279.11,33.7754
166.286,60.0525
370.219,17.841
118.221,204.404
717.755,18.8985
120.374,4.09298
95.991,4.14874
1097.19,151.97
166.317,9.6173
165.925,100.691
229.148,10.258
165.431,271.978
33.1839,99.4803
161.988,32.4745
222.763,19.4415
143.69,72.8502
118.268,79.515
552.242,68.5757
860.499,169.622
120.643,150.717
165.551,724.065
174.411,185.806
165.467,159.206
165.893,301.326
124.699,30.1202
606.537,36.4774
165.651,37.4744
326.81,23.3787
669.436,83.4668
23.5982,574.246
126.529,180.744
245.253,38.1048
582.141,60.465
165.593,13.0277
124.374,193.876
72.2619,256.597
145.997,147.275
130.535,147.275
467.81,45.1713
89.7443,49.0717
1132.38,461.354
165.959,99.5307
32.7553,6.21655
76.4551,6.21655
169.857,6.21655
44.4567,40.9231
33.8234,470.061
166.449,90.14
1012.09,76.0061
442.028,181.019
160.167,84.0343
33.3301,25.493
222.903,79.6166
477.918,57.6227
983.485,234.929
940.987,95.747
166.378,150.229
483.49,60.8939
688.754,255.84
229.242,401.867
31.032,36.2967
134.8,36.2967
165.248,113.138
14.7341,29.5162
166.047,89.7274
165.678,169.103
985.316,34.8503
165.502,96.6938
51.5883,63.5835
14.4524,1.85647
908.25,114.055
61.6224,305.038
1088.47,125.854
166.114,27.7112
79.0386,63.7967
165.698,208.094
99.4226,18.7536
165.978,73.7915
1037.81,92.2328
87.7452,158.217
121.19,158.217
165.617,39.2897
296.362,51.9583
134.657,214.678
252.025,248.687
128.037,130.674
2.67729,1.39321
237.277,1.39321
621.307,105.785
1139.25,8.55796
1523,31.3661
203.702,39.9838
63.4606,68.4604
871.162,14.1239
36.7022,49.8259
52.3801,61.4687
107.615,93.8808
165.851,152.541
165.457,155.636
204.136,63.9425
148.342,231.429
33.1787,272.221
128.018,114.91
256.901,430.351
329.593,464.021
183.204,141.374
